prohibited_ingredient_list_final
Name;Name;Product type, body parts;Maximum Threshold
Trioxysalen;Trioxysalen;Sun protection products and bronzing products;1 mg/kg
Furocoumarines;Furocoumarines;Sun protection products and bronzing products;1 mg/kg
8-Methoxypsoralen;8-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
5-Methoxypsoralen;5-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
Safrole;Safrole;Products for dental and oral hygiene;50 ppm
Salts of 6-nitro-2,5-pyridinediamine;Salts of 6-nitro-2,5-pyridinediamine;Hair dye products;0%
Salts of 6-amino-o-cresol;Salts of 6-amino-o-cresol;Hair dye products;0%
Salts of 6-amino-2-(2,4-dimethylphenyl)-1H-benz[de]isoquinoline-1,3(2H)-dione;Salts of 6-amino-2-(2,4-dimethylphenyl)-1H-benz[de]isoquinoline-1,3(2H)-dione;Hair dye products;0%
Salts of 5-hydroxy-1,4-benzodioxane;Salts of 5-hydroxy-1,4-benzodioxane;Hair dye products;0%
Salts of 5-amino-2,6-dimethoxy-3-hydroxypyridine;Salts of 5-amino-2,6-dimethoxy-3-hydroxypyridine;Hair dye products;0%
Salts of 5-((4-(dimethylamino)phenyl)azo)-1,4-dimethyl-1H-1,2,4-triazolium;Salts of 5-((4-(dimethylamino)phenyl)azo)-1,4-dimethyl-1H-1,2,4-triazolium;Hair dye products;0%
Salts of 4-nitro-m-phenylenediamine;Salts of 4-nitro-m-phenylenediamine;Hair dye products;0%
Salts of 4-ethylamino-3-nitrobenzoic acid;Salts of 4-ethylamino-3-nitrobenzoic acid;Hair dye products;0%
Salts of 4-diethylamino-o-toluidine;Salts of 4-diethylamino-o-toluidine;Hair dye products;0%
Salts of 4-aminobenzenesulfonic acid;Salts of 4-aminobenzenesulfonic acid;Hair dye products;0%
Salts of 4-[(4-nitrophenyl)azo]aniline;Salts of 4-[(4-nitrophenyl)azo]aniline;Hair dye products;0%
