prohibited_ingredient_list_final
Name;Name;Product type, body parts;Maximum Threshold
Trioxysalen;Trioxysalen;Sun protection products and bronzing products;1 mg/kg
Furocoumarines;Furocoumarines;Sun protection products and bronzing products;1 mg/kg
8-Methoxypsoralen;8-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
5-Methoxypsoralen;5-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
Safrole;Safrole;Products for dental and oral hygiene;50 ppm
Hexafluorosilicate(2-), lead(2+) (1:1), tetrahydrate;Lead and its compounds;All cosmetic products;0%
Lead, isooctanoate neodecanoate complexes;Lead and its compounds;All cosmetic products;0%
Hafnium lead trioxide;Lead and its compounds;All cosmetic products;0%
Dore;Lead and its compounds;All cosmetic products;0%
Lead dicyanide;Lead and its compounds;All cosmetic products;0%
Lead, isononanoate naphthenate complexes;Lead and its compounds;All cosmetic products;0%
Plumbane, tetrakis(1-methylethyl)-;Lead and its compounds;All cosmetic products;0%
2-Propenoic acid, 2-methyl-, lead salt, basic;Lead and its compounds;All cosmetic products;0%
1,2-Benzenedicarboxylic acid, lead(2+) salt, basic;Lead and its compounds;All cosmetic products;0%
Lead, isononanoate isooctanoate complexes, basic;Lead and its compounds;All cosmetic products;0%
Fatty acids, C9-11-branched, lead salts;Lead and its compounds;All cosmetic products;0%
Lead tetraacetate;Lead and its compounds;All cosmetic products;0%
Silicic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Silicic acid (H2SiO3), calcium salt (1:1), lead and manganese-doped;Lead and its compounds;All cosmetic products;0%
Antimonial lead;Lead and its compounds;All cosmetic products;0%
Dicalcium lead tetraoxide;Lead and its compounds;All cosmetic products;0%
Lead(2+) octanoate;Lead and its compounds;All cosmetic products;0%
Plumbate(1-), [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']-, sodium, (T-4)-;Lead and its compounds;All cosmetic products;0%
Lead ores, concs., leached;Lead and its compounds;All cosmetic products;0%
Lead divanadium hexaoxide;Lead and its compounds;All cosmetic products;0%
Lead(2+) silicate;Lead and its compounds;All cosmetic products;0%
Lead, neononanoate neoundecanoate complexes, basic;Lead and its compounds;All cosmetic products;0%
lead(II) perchlorate trihydrate;Lead and its compounds;All cosmetic products;0%
Residues, lead roaster;Lead and its compounds;All cosmetic products;0%
Lead silicate;Lead and its compounds;All cosmetic products;0%
Boric acid (HBO2), lead(2+) salt, monohydrate;Lead and its compounds;All cosmetic products;0%
Diantimony trilead octaoxide;Lead and its compounds;All cosmetic products;0%
Stearic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Tetraethyllead;Lead and its compounds;All cosmetic products;0%
Phosphorodithioic acid, mixed O,O-bis(Bu and pentyl) esters, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
1,3-Benzenediol, 2-nitro-, lead salt, basic;Lead and its compounds;All cosmetic products;0%
Glycine, N,N-bis(carboxymethyl)-, lead(2+) salt (1:1);Lead and its compounds;All cosmetic products;0%
Pentanoic acid, 2-propyl-, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Lead bis(4-cyclohexylbutyrate);Lead and its compounds;All cosmetic products;0%
Diacetoxydiphenylplumbane;Lead and its compounds;All cosmetic products;0%
Lead dibenzoate;Lead and its compounds;All cosmetic products;0%
Lead dilactate;Lead and its compounds;All cosmetic products;0%
Lead bis(tetracosylbenzenesulphonate);Lead and its compounds;All cosmetic products;0%
2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethenylbenzene, lead(2+) 2-methyl-2-propenoate (1:2) and alpha-(2-methyl-1-oxo-2-propen-1-yl)-omega-((2-methyl-1-oxo-2-propen-1-yl)oxy)poly(oxy-1,2-ethanediyl);Lead and its compounds;All cosmetic products;0%
Lead, decanoate octanoate complexes;Lead and its compounds;All cosmetic products;0%
Sulphuric acid, barium lead salt;Lead and its compounds;All cosmetic products;0%
Leach residues, precious metal recovery lead refining;Lead and its compounds;All cosmetic products;0%
Lead dithiocyanate;Lead and its compounds;All cosmetic products;0%
(neononanoato-O)(neoundecanoato-O)lead;Lead and its compounds;All cosmetic products;0%
Lead(2+) heptadecanoate;Lead and its compounds;All cosmetic products;0%
Lead, C8-10-branched fatty acids C9-11-neofatty acids naphthenate complexes;Lead and its compounds;All cosmetic products;0%
Chromium lead oxide;Lead and its compounds;All cosmetic products;0%
Residues, lead-zinc smelting wastewater treatment;Lead and its compounds;All cosmetic products;0%
Flue gases, lead-zinc blast furnace;Lead and its compounds;All cosmetic products;0%
Lead carbonate;Lead and its compounds;All cosmetic products;0%
(2-ethylhexanoato-O)(isodecanoato-O)lead;Lead and its compounds;All cosmetic products;0%
Lead, naphthenate neodecanoate complexes, basic;Lead and its compounds;All cosmetic products;0%
Lead(2+) neononanoate;Lead and its compounds;All cosmetic products;0%
(2-ethylhexanoato-O)(isooctanoato-O)lead;Lead and its compounds;All cosmetic products;0%
(R)-3,5,6-trihydroxy-4,6-bis(3-methylbut-2-enyl)-2-(3-methyl-2-oxobutyl)cyclohexa-2,4-dien-1-one, lead salt;Lead and its compounds;All cosmetic products;0%
Basic lead chromate orange;Lead and its compounds;All cosmetic products;0%
Gilsonite, polymer with cyclopentadiene, dicyclopentadiene and linseed oil, lead salts;Lead and its compounds;All cosmetic products;0%
Dibismuth dilead tetraruthenium tridecaoxide;Lead and its compounds;All cosmetic products;0%
Triethylmethylplumbane;Lead and its compounds;All cosmetic products;0%
Lead dilinoleate;Lead and its compounds;All cosmetic products;0%
7-methyloctanoic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Lead cyanamidate;Lead and its compounds;All cosmetic products;0%
Lead, antimonial, dross;Lead and its compounds;All cosmetic products;0%
Neodecanoic acid, lead salt, basic;Lead and its compounds;All cosmetic products;0%
Lead(2+) (R)-12-hydroxyoleate;Lead and its compounds;All cosmetic products;0%
Boric acid (H3BO3), solid soln. with barium oxide, calcium oxide and strontium oxide, lead and manganese-doped;Lead and its compounds;All cosmetic products;0%
Sulfurous acid, lead salt, basic;Lead and its compounds;All cosmetic products;0%
Lead, isodecanoate neodecanoate complexes, basic;Lead and its compounds;All cosmetic products;0%
Plumbane, dibutyldiethyl-;Lead and its compounds;All cosmetic products;0%
9-Octadecenoic acid, lead(2+) salt, (E)-;Lead and its compounds;All cosmetic products;0%
Lead dipropionate;Lead and its compounds;All cosmetic products;0%
Lead bis(dimethyldithiocarbamate);Lead and its compounds;All cosmetic products;0%
(2-Methyl-4,6-dinitrophenoxy)(nitrooxy)diplumboxane monohydrate;Lead and its compounds;All cosmetic products;0%
1H-Isoindole-1,3(2H)-dione, 4,5,6, 7-tetrachloro-2-(triethylplumbyl)-;Lead and its compounds;All cosmetic products;0%
Trilead bis(carbonate) dihydroxide;Lead and its compounds;All cosmetic products;0%
Lead, isooctanoate naphthenate complexes, basic;Lead and its compounds;All cosmetic products;0%
Lead silicate sulfate;Lead and its compounds;All cosmetic products;0%
Resin acids and Rosin acids, calcium salts, polymers with lead resinates and sapond. linseed oil;Lead and its compounds;All cosmetic products;0%
Benzoic acid, 4-methyl-, lead(4+) salt;Lead and its compounds;All cosmetic products;0%
Tungstate (WO42-), calcium (1:1), (T-4)-, lead-doped;Lead and its compounds;All cosmetic products;0%
Fatty acids, C8-10-branched, lead salts, basic;Lead and its compounds;All cosmetic products;0%
Lead disulphide;Lead and its compounds;All cosmetic products;0%
Linseed oil, lead manganese salt;Lead and its compounds;All cosmetic products;0%
Pigment Lightfast Lead-Molybdate Orange OS (9CI);Lead and its compounds;All cosmetic products;0%
Waste solids, lead silver anode;Lead and its compounds;All cosmetic products;0%
Flue dust, lead blast furnace;Lead and its compounds;All cosmetic products;0%
Lead hydroxide (Pb(OH));Lead and its compounds;All cosmetic products;0%
Lead diundec-10-enoate;Lead and its compounds;All cosmetic products;0%
Lead tartrate;Lead and its compounds;All cosmetic products;0%
Hexanoic acid, 2-ethyl-, lead(2+) salt, basic;Lead and its compounds;All cosmetic products;0%
Lead titanium trioxide;Lead and its compounds;All cosmetic products;0%
Lead alloy, base, Pb,Sn, dross;Lead and its compounds;All cosmetic products;0%
Lead bis(5-oxo-DL-prolinate);Lead and its compounds;All cosmetic products;0%
(maleato)trioxotetralead;Lead and its compounds;All cosmetic products;0%
Lead C3-13-alkanecarboxylate naphthenate complexes;Lead and its compounds;All cosmetic products;0%
Lead metaborate;Lead and its compounds;All cosmetic products;0%
Trilead bis(orthophosphate);Lead and its compounds;All cosmetic products;0%
Slimes and Sludges, lead sinter dust scrubber;Lead and its compounds;All cosmetic products;0%
Carbamodithioic acid, phenylethyl-, lead salt;Lead and its compounds;All cosmetic products;0%
Lead oxide sulfate;Lead and its compounds;All cosmetic products;0%
Lead uranate pigment;Lead and its compounds;All cosmetic products;0%
Trilead chromate silicate;Lead and its compounds;All cosmetic products;0%
Matte, copper-lead, tellurium-contg.;Lead and its compounds;All cosmetic products;0%
Arsenic acid (H3AsO4), lead(4+) salt (2:1), monohydrate;Lead and its compounds;All cosmetic products;0%
Plumbane, (4-bromobutyl)triphenyl-;Lead and its compounds;All cosmetic products;0%
Leach residues, lead slag;Lead and its compounds;All cosmetic products;0%
Lead dichloride;Lead and its compounds;All cosmetic products;0%
Lead dipicrate;Lead and its compounds;All cosmetic products;0%
Lead, 2-ethylhexanoate isodecanoate complexes, basic;Lead and its compounds;All cosmetic products;0%
Dioxobis(stearato)trilead;Lead and its compounds;All cosmetic products;0%
Pentalead tetraoxide sulphate;Lead and its compounds;All cosmetic products;0%
Lead 2,4,6-trinitro-m-phenylene dioxide;Lead and its compounds;All cosmetic products;0%
Lead(2+) tellurium tetraoxide;Lead and its compounds;All cosmetic products;0%
Slimes and Sludges, copper-lead ore roasting off gas scrubbing, arsenic-contg.;Lead and its compounds;All cosmetic products;0%
Lead germanate;Lead and its compounds;All cosmetic products;0%
UNDECANSAEURE-PB(II)-SALZ;Lead and its compounds;All cosmetic products;0%
2-Propanesulfonic acid, 1-hydroxy-, lead salt;Lead and its compounds;All cosmetic products;0%
Butyl-diethyl-methylplumbane;Lead and its compounds;All cosmetic products;0%
199Pb;Lead and its compounds;All cosmetic products;0%
Lead(2+) acrylate;Lead and its compounds;All cosmetic products;0%
Lead bis[didodecylbenzenesulphonate];Lead and its compounds;All cosmetic products;0%
202Pb;Lead and its compounds;All cosmetic products;0%
Lead, dross, copper-rich;Lead and its compounds;All cosmetic products;0%
Chlorotrimethylplumbane;Lead and its compounds;All cosmetic products;0%
Lead tungsten tetraoxide;Lead and its compounds;All cosmetic products;0%
Fatty acids, C8-18 and C18-unsatd., lead salts;Lead and its compounds;All cosmetic products;0%
Ethanedioic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Fatty acids, C6-19-branched, lead salts;Lead and its compounds;All cosmetic products;0%
Lead cyanamide;Lead and its compounds;All cosmetic products;0%
1,2-Benzenedicarboxylic acid, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Diantimony lead tetroxide;Lead and its compounds;All cosmetic products;0%
Bismuth lead ruthenium oxide;Lead and its compounds;All cosmetic products;0%
Lead, triethyl-, oleate;Lead and its compounds;All cosmetic products;0%
Plumbane, dichlorodimethyl-;Lead and its compounds;All cosmetic products;0%
Tetracosanoic acid, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Fatty acids, tall-oil, lead salts;Lead and its compounds;All cosmetic products;0%
Barium oxide (BaO), solid soln. with calcium oxide, strontium oxide and tungsten oxide (WO3), lead-doped;Lead and its compounds;All cosmetic products;0%
Hexadecanoic acid, lead salt, basic;Lead and its compounds;All cosmetic products;0%
LEAD HYDROXIDE;Lead and its compounds;All cosmetic products;0%
Chromium lead molybdenum oxide sulfate, silica-modified;Lead and its compounds;All cosmetic products;0%
Lead hexafluoro-silicate;Lead and its compounds;All cosmetic products;0%
Isodecanoic acid, lead(2+) salt, basic;Lead and its compounds;All cosmetic products;0%
Phosphoric acid, lead salt;Lead and its compounds;All cosmetic products;0%
Dilead chromate dihydroxide;Lead and its compounds;All cosmetic products;0%
Silicic acid (H6Si2O7), barium zinc salt (1:1:2), lead-doped;Lead and its compounds;All cosmetic products;0%
Naphthenic acids, lead manganese salts;Lead and its compounds;All cosmetic products;0%
Acetic acid, capric acid, caprylic acid, coconut oil, hydrogenated tallow fatty acids, calcium-lead complex salt;Lead and its compounds;All cosmetic products;0%
Plumbane, tetrakis(1-methylpropyl)-;Lead and its compounds;All cosmetic products;0%
Lead hydrogenorthophosphate;Lead and its compounds;All cosmetic products;0%
Lead, C6-19-branched carboxylate naphthenate complexes;Lead and its compounds;All cosmetic products;0%
Plumbane, (4-azidobutyl)triphenyl-;Lead and its compounds;All cosmetic products;0%
Lead fluoride (VAN);Lead and its compounds;All cosmetic products;0%
200Pb;Lead and its compounds;All cosmetic products;0%
Lead didocosanoate;Lead and its compounds;All cosmetic products;0%
Arsenic acid (H3AsO4), lead(4+) salt (3:2);Lead and its compounds;All cosmetic products;0%
Hexanoic acid, dimethyl-, lead(2+) salt, basic;Lead and its compounds;All cosmetic products;0%
Plumbane, triethyl[[(4-methylphenyl)sulfonyl]oxy]-;Lead and its compounds;All cosmetic products;0%
Lead tungsten oxide;Lead and its compounds;All cosmetic products;0%
Ferrate (2-), [N,N-bis[2-(bis(carboxymethyl)amino)ethyl]glycinato (5-)]-, disodium;Lead and its compounds;All cosmetic products;0%
Chromic acid (H2CrO4), lead(2+) potassium salt (2:1:2);Lead and its compounds;All cosmetic products;0%
Matte, precious metal;Lead and its compounds;All cosmetic products;0%
Lead arsenite;Lead and its compounds;All cosmetic products;0%
Lead cyanamidate;Lead and its compounds;All cosmetic products;0%
Formic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Fatty acids, C8-9, lead salts;Lead and its compounds;All cosmetic products;0%
(isononanoato-O)(neodecanoato-O)lead;Lead and its compounds;All cosmetic products;0%
Neodecanoic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Lead, C9-28-neocarboxylate 2-ethylhexanoate complexes, basic;Lead and its compounds;All cosmetic products;0%
Lead tetracosanoate;Lead and its compounds;All cosmetic products;0%
Nitric acid, lead(2+) salt, reaction products with sodium tin oxide;Lead and its compounds;All cosmetic products;0%
Lead, 2-ethylhexanoate isononanoate complexes, basic;Lead and its compounds;All cosmetic products;0%
Lead 5-nitroterephthalate;Lead and its compounds;All cosmetic products;0%
Sulfurous acid, lead salt, dibasic;Lead and its compounds;All cosmetic products;0%
Sulfuric acid, lead(2+) salt, basic;Lead and its compounds;All cosmetic products;0%
Plumbane, chlorotripropyl-;Lead and its compounds;All cosmetic products;0%
[μ-(4,6-dinitroresorcinolato(2-)-O1,O3)]dihydroxydilead;Lead and its compounds;All cosmetic products;0%
Methanesulfonic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Gum rosin, litharge polymer;Lead and its compounds;All cosmetic products;0%
Phosphoric acid, mixed Bu and hexyl diesters, lead(2+) salts;Lead and its compounds;All cosmetic products;0%
Lead bis(2-ethylhexanoate);Lead and its compounds;All cosmetic products;0%
Fatty acids, C8-10-branched, lead salts;Lead and its compounds;All cosmetic products;0%
Lead bis(nonylphenolate);Lead and its compounds;All cosmetic products;0%
Nonanoic acid, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Sulfuric acid, lead(2+) lead(4+) salt (3:1:1);Lead and its compounds;All cosmetic products;0%
Benzoic acid, 2-methyl-, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Slimes and Sludges, lead-zinc blast furnace, offgas wet cleaning;Lead and its compounds;All cosmetic products;0%
Orthoboric acid, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Lead(2+) 4,4'-isopropylidenebisphenolate;Lead and its compounds;All cosmetic products;0%
Lead, bullion;Lead and its compounds;All cosmetic products;0%
Carbamodithioic acid, dipentyl-, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Acetic acid, lead salt, basic;Lead and its compounds;All cosmetic products;0%
Lead, bis(acetato-O)tetrahydroxytri-;Lead and its compounds;All cosmetic products;0%
212Pb;Lead and its compounds;All cosmetic products;0%
Lead phthalocyanine;Lead and its compounds;All cosmetic products;0%
Lead alloy, base, dross;Lead and its compounds;All cosmetic products;0%
Hexanoic acid, 3,5,5-trimethyl-, lead(2+) salt, basic;Lead and its compounds;All cosmetic products;0%
Slags, lead-zinc smelting;Lead and its compounds;All cosmetic products;0%
Lead, C5-23-branched carboxylate C4-10-fatty acid complexes;Lead and its compounds;All cosmetic products;0%
Basic lead beta-resorcylate;Lead and its compounds;All cosmetic products;0%
Lead monoxide;Lead and its compounds;All cosmetic products;0%
Dilead pyrophosphate;Lead and its compounds;All cosmetic products;0%
Hexacosanoic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Isononanoic acid, lead salt, basic;Lead and its compounds;All cosmetic products;0%
2-Butenedioic acid (Z)-, lead(2+) salt, basic;Lead and its compounds;All cosmetic products;0%
1H-Imidazole, 1-(tributylplumbyl)-;Lead and its compounds;All cosmetic products;0%
Basic lead sulfite;Lead and its compounds;All cosmetic products;0%
Carbonic acid, lead salt;Lead and its compounds;All cosmetic products;0%
barium calcium cesium lead samarium strontium bromide chloride fluoride iodide europium doped;Lead and its compounds;All cosmetic products;0%
Phosphonic acid, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Lead oxide (PbO), lead-contg.;Lead and its compounds;All cosmetic products;0%
1H-Indole, 1-(triphenylplumbyl)-;Lead and its compounds;All cosmetic products;0%
Lead(IV) fluoride;Lead and its compounds;All cosmetic products;0%
Hydroxy(neodecanoato-O)lead;Lead and its compounds;All cosmetic products;0%
Lead, 2-ethylhexanoate tall-oil fatty acids complexes;Lead and its compounds;All cosmetic products;0%
Gilsonite, linseed oil polymer, lead salt;Lead and its compounds;All cosmetic products;0%
Lead, isodecanoate naphthenate complexes;Lead and its compounds;All cosmetic products;0%
Carboxylic acids, tall-oil, lead salts, basic;Lead and its compounds;All cosmetic products;0%
Slimes and Sludges, battery scrap, antimony- and lead-rich;Lead and its compounds;All cosmetic products;0%
Oils, menhaden, lead salts;Lead and its compounds;All cosmetic products;0%
Lead, isodecanoate naphthenate complexes, basic;Lead and its compounds;All cosmetic products;0%
Lead(2+) methacrylate;Lead and its compounds;All cosmetic products;0%
(2-ethylhexanoato-O)(neodecanoato-O)lead;Lead and its compounds;All cosmetic products;0%
Trilead dioxide phosphonate;Lead and its compounds;All cosmetic products;0%
Plumbylium, ethyldimethyl-;Lead and its compounds;All cosmetic products;0%
Lead dibromate;Lead and its compounds;All cosmetic products;0%
Chromic acid (H2CrO4), lead(2 ) salt;Lead and its compounds;All cosmetic products;0%
Lead hydroxide oxide (Pb2(OH)2O);Lead and its compounds;All cosmetic products;0%
Benzenesulfonic acid, hydroxy-, lead salt;Lead and its compounds;All cosmetic products;0%
Trinitrophloroglucinol, lead salt;Lead and its compounds;All cosmetic products;0%
Lead(2+) (Z)-hexadec-9-enoate;Lead and its compounds;All cosmetic products;0%
Barium bismuth lead niobium titanium oxide;Lead and its compounds;All cosmetic products;0%
Bis(o-acetoxybenzoato)lead;Lead and its compounds;All cosmetic products;0%
1H-Pyrrole, 1-(triphenylplumbyl)-;Lead and its compounds;All cosmetic products;0%
(isodecanoato-O)(isononanoato-O)lead;Lead and its compounds;All cosmetic products;0%
Lead(II) bis(methanesulfonate);Lead and its compounds;All cosmetic products;0%
Plumbane, tripropyl-;Lead and its compounds;All cosmetic products;0%
Lead propionate;Lead and its compounds;All cosmetic products;0%
Lead hydrogen arsenate;Lead and its compounds;All cosmetic products;0%
Lead, 2-ethylhexanoate naphthenate complexes;Lead and its compounds;All cosmetic products;0%
Lead carbonate;Lead and its compounds;All cosmetic products;0%
Bis(diethyldithiocarbamato-S,S')lead;Lead and its compounds;All cosmetic products;0%
[μ-[[5,5'-azobis[1H-tetrazolato]](2-)]]dihydroxydilead;Lead and its compounds;All cosmetic products;0%
Dilead silicate sulphate;Lead and its compounds;All cosmetic products;0%
Lead sulphide;Lead and its compounds;All cosmetic products;0%
Fatty acids, C18-24, lead salts;Lead and its compounds;All cosmetic products;0%
Isooctanoic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Lead(2+) isohexadecanoate;Lead and its compounds;All cosmetic products;0%
Lead diiodate;Lead and its compounds;All cosmetic products;0%
Lead oxide sulfate;Lead and its compounds;All cosmetic products;0%
Matte, lead;Lead and its compounds;All cosmetic products;0%
Phosphorodithioate O,O-bis(1,3-dimethylbutyl), lead salt;Lead and its compounds;All cosmetic products;0%
Pyrochlore, antimony lead yellow;Lead and its compounds;All cosmetic products;0%
Residues, precious metal refining cementation;Lead and its compounds;All cosmetic products;0%
Lead, triphenyl(phenylthio)- (7CI);Lead and its compounds;All cosmetic products;0%
Lead phthalate;Lead and its compounds;All cosmetic products;0%
Phenol, lead(2+) salt (2:1);Lead and its compounds;All cosmetic products;0%
Silicic acid (H2Si2O5), barium salt (1:1), lead-doped;Lead and its compounds;All cosmetic products;0%
Naphthenic acids, lead salts, basic;Lead and its compounds;All cosmetic products;0%
Bismuth, compound with lead (1:1);Lead and its compounds;All cosmetic products;0%
Lead thiosulphate;Lead and its compounds;All cosmetic products;0%
22-Tricosenoic acid, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Ethyltrimethylplumbane;Lead and its compounds;All cosmetic products;0%
Lead chloride (PbCl);Lead and its compounds;All cosmetic products;0%
Lead, C4-10-fatty acid octanoate complexes;Lead and its compounds;All cosmetic products;0%
Lead diperchlorate;Lead and its compounds;All cosmetic products;0%
Lead, isooctanoate neodecanoate complexes, basic;Lead and its compounds;All cosmetic products;0%
Phenol, 2-methyldinitro-, lead salt;Lead and its compounds;All cosmetic products;0%
Plumbane, butyltrimethyl-;Lead and its compounds;All cosmetic products;0%
Fumes, lead;Lead and its compounds;All cosmetic products;0%
Lead, dross;Lead and its compounds;All cosmetic products;0%
Lead dioleate;Lead and its compounds;All cosmetic products;0%
Lead bis(12-hydroxystearate);Lead and its compounds;All cosmetic products;0%
[phthalato(2-)]oxodilead;Lead and its compounds;All cosmetic products;0%
Lead, isononanoate naphthenate complexes, basic;Lead and its compounds;All cosmetic products;0%
Lead sulphate;Lead and its compounds;All cosmetic products;0%
Diethyllead;Lead and its compounds;All cosmetic products;0%
5,5,13,13-tetradehydro-4,5-dihydro-4,8,10,15-tetranitro-7,11-metheno-11H,13H-tetrazolo[1,5-c][1,7,3,5,2,6]dioxadiazadiplumbacyclododecine;Lead and its compounds;All cosmetic products;0%
Tin alloy;Lead and its compounds;All cosmetic products;0%
Lead dilaurate;Lead and its compounds;All cosmetic products;0%
Castor oil, dehydrated, polymer with rosin, calcium lead zinc salt;Lead and its compounds;All cosmetic products;0%
Lead chloride silicate;Lead and its compounds;All cosmetic products;0%
Benzoic acid, 2-butyl, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Isoundecanoic acid, lead(2+) salt, basic;Lead and its compounds;All cosmetic products;0%
Thiosulphuric acid, lead salt;Lead and its compounds;All cosmetic products;0%
Dodecairon lead nonadecaoxide;Lead and its compounds;All cosmetic products;0%
Lead dipalmitate;Lead and its compounds;All cosmetic products;0%
Lead sulfide;Lead and its compounds;All cosmetic products;0%
Nonanoic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Lead, bis(dipropylcarbamodithioato-S,S')-, (T-4)-;Lead and its compounds;All cosmetic products;0%
Lead(2+) 4,6-dinitro-o-cresolate;Lead and its compounds;All cosmetic products;0%
Benzoic acid, 4-methyl-, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Lead, bis(2-hydroxybenzoato-O1,O2)-, monohydrate, (T-4)-;Lead and its compounds;All cosmetic products;0%
Speiss, lead-zinc;Lead and its compounds;All cosmetic products;0%
Lead(II) maleate;Lead and its compounds;All cosmetic products;0%
Ethanedioic acid, lead(2+) salt (1:1), trihydrate;Lead and its compounds;All cosmetic products;0%
Silicic acid, calcium salt, lead and manganese-doped;Lead and its compounds;All cosmetic products;0%
Tetramethyllead;Lead and its compounds;All cosmetic products;0%
Naphthenic acids, lead (2+) salts;Lead and its compounds;All cosmetic products;0%
Spinels, lead silicon tin zinc white;Lead and its compounds;All cosmetic products;0%
Fatty acids, tallow, hydrogenated, lead salts;Lead and its compounds;All cosmetic products;0%
Lead difluoride;Lead and its compounds;All cosmetic products;0%
Lead oleate;Lead and its compounds;All cosmetic products;0%
Lead oxalate;Lead and its compounds;All cosmetic products;0%
Lead disulphamidate;Lead and its compounds;All cosmetic products;0%
Lead oxide sulfate (Pb4O3(SO4)), monohydrate;Lead and its compounds;All cosmetic products;0%
Isononanoic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Lead, isodecanoate isononanoate complexes, basic;Lead and its compounds;All cosmetic products;0%
Plumbane, acetoxytripropyl-;Lead and its compounds;All cosmetic products;0%
Dilead diruthenium hexaoxide;Lead and its compounds;All cosmetic products;0%
Acetoxytriphenylplumbane;Lead and its compounds;All cosmetic products;0%
Lead chloride;Lead and its compounds;All cosmetic products;0%
Silicic acid, chromium lead salt;Lead and its compounds;All cosmetic products;0%
Naphthenic acids, lead salts;Lead and its compounds;All cosmetic products;0%
209Pb;Lead and its compounds;All cosmetic products;0%
Dihydroxy[styphnato(2-)]dilead;Lead and its compounds;All cosmetic products;0%
Leach residues, zinc ore, lead-contg.;Lead and its compounds;All cosmetic products;0%
Lead chromate sulfate (Pb9(CrO4)5(SO4)4);Lead and its compounds;All cosmetic products;0%
Lead, C5-23-branched carboxylate C4-10-fatty acid naphthenate complexes;Lead and its compounds;All cosmetic products;0%
Lead malate;Lead and its compounds;All cosmetic products;0%
Lead (II) hydroxide salicylate;Lead and its compounds;All cosmetic products;0%
Lead oxide (PbO), retort;Lead and its compounds;All cosmetic products;0%
Dodecanoic acid, lead salt, basic;Lead and its compounds;All cosmetic products;0%
Lead bis(tetrafluoroborate);Lead and its compounds;All cosmetic products;0%
Phenol, tetrapropylene-, lead(2+) salt;Lead and its compounds;All cosmetic products;0%
Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs., lead(2+) salts;Lead and its compounds;All cosmetic products;0%
Lead icosanoate;Lead and its compounds;All cosmetic products;0%
Acetic acid, lead(2+) salt, trihydrate;Lead and its compounds;All cosmetic products;0%
Slimes and Sludges, precious metal refining;Lead and its compounds;All cosmetic products;0%
Lead and Lead compounds (as Pb);Lead and its compounds;All cosmetic products;0%
Lead(2+) neodecanoate;Lead and its compounds;All cosmetic products;0%
Tetralead trioxide sulphate;Lead and its compounds;All cosmetic products;0%
Lead pentadecanoate;Lead and its compounds;All cosmetic products;0%
Fatty acids, coco, lead salts;Lead and its compounds;All cosmetic products;0%
Hexaethyldiplumbane;Lead and its compounds;All cosmetic products;0%
Hexadecanoic acid, lead(2+) salt, basic;Lead and its compounds;All cosmetic products;0%
Lead chlorate;Lead and its compounds;All cosmetic products;0%
Lead diphosphinate;Lead and its compounds;All cosmetic products;0%
Lead(II) isooctanoate;Lead and its compounds;All cosmetic products;0%
Neononanoic acid, lead salt, basic;Lead and its compounds;All cosmetic products;0%
Glycine, N,N-bis(carboxymethyl)-, lead(2+) potassium salt (1:1:1);Lead and its compounds;All cosmetic products;0%
3-(triphenylplumbyl)-1H-pyrazole;Lead and its compounds;All cosmetic products;0%
Plumbane dichlorodiethyl-;Lead and its compounds;All cosmetic products;0%
3,5,5-trimethylhexanoic acid, lead salt;Lead and its compounds;All cosmetic products;0%
Lead, bis[bis(1-methylethyl)carbamodithioato-S,S']-, (T-4)-;Lead and its compounds;All cosmetic products;0%
Lead diformate;Lead and its compounds;All cosmetic products;0%
Lead bromide chloride;Lead and its compounds;All cosmetic products;0%
Triethyllead acetate;Lead and its compounds;All cosmetic products;0%
Slimes and Sludges, lead acetate manuf.;Lead and its compounds;All cosmetic products;0%
Lanthanum lead titanium zirconium oxide;Lead and its compounds;All cosmetic products;0%
